Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
522,6025,"Minifigure, Hair Islander","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=6025,https://www.bricklink.com/catalogItemIn.asp?P=6025&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=6025#T=C,Black,Black-coded,False,True
432,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,Black,Black-coded,False,True
434,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,Dark Brown,Black-coded,False,True
435,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,Dark Tan,Black-coded,False,True
436,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,Light Bluish Gray,Black-coded,False,False
437,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,Medium Nougat,Black-coded,False,False
439,64807,"Minifigure, Hair Female Short, Braided on Sides, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=64807,https://www.bricklink.com/catalogItemIn.asp?P=64807&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=64807#T=C,White,Black-coded,False,True
149,69857,"Minifigure, Hair Female Coiled with Ponytail, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=69857,https://www.bricklink.com/catalogItemIn.asp?P=69857&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=69857#T=C,Black,Black-coded,False,True
150,69857,"Minifigure, Hair Female Coiled with Ponytail, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=69857,https://www.bricklink.com/catalogItemIn.asp?P=69857&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=69857#T=C,Dark Brown,Black-coded,False,True
151,69857,"Minifigure, Hair Female Coiled with Ponytail, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=69857,https://www.bricklink.com/catalogItemIn.asp?P=69857&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=69857#T=C,Tan,Black-coded,False,False
634,7195,"Minifigure, Hair Male, Coiled with Raised Front","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=7195,https://www.bricklink.com/catalogItemIn.asp?P=7195&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=7195#T=C,Black,Black-coded,False,True
152,78301,"Minifigure, Hair Female Coiled, Parted Wash and Go","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=78301,https://www.bricklink.com/catalogItemIn.asp?P=78301&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=78301#T=C,Black,Black-coded,False,True
153,78301,"Minifigure, Hair Female Coiled, Parted Wash and Go","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=78301,https://www.bricklink.com/catalogItemIn.asp?P=78301&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=78301#T=C,Dark Brown,Black-coded,False,True
154,78301,"Minifigure, Hair Female Coiled, Parted Wash and Go","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=78301,https://www.bricklink.com/catalogItemIn.asp?P=78301&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=78301#T=C,Medium Nougat,Black-coded,False,False
639,79688,"Minifigure, Hair Male, Coiled with Straight Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=79688,https://www.bricklink.com/catalogItemIn.asp?P=79688&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=79688#T=C,Black,Black-coded,False,True
635,80682,"Minifigure, Hair Male, Coiled with Short Straight Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=80682,https://www.bricklink.com/catalogItemIn.asp?P=80682&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=80682#T=C,Black,Black-coded,False,True
636,80682,"Minifigure, Hair Male, Coiled with Short Straight Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=80682,https://www.bricklink.com/catalogItemIn.asp?P=80682&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=80682#T=C,Dark Brown,Black-coded,False,True
310,80908,"Minifigure, Hair Female Mid-Length, Curly","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=80908,https://www.bricklink.com/catalogItemIn.asp?P=80908&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=80908#T=C,Black,Black-coded,False,True
160,83345,"Minifigure, Hair Female Long Braided Ponytail","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=83345,https://www.bricklink.com/catalogItemIn.asp?P=83345&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=83345#T=C,Black,Black-coded,False,True
161,83345,"Minifigure, Hair Female Long Braided Ponytail","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=83345,https://www.bricklink.com/catalogItemIn.asp?P=83345&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=83345#T=C,Dark Brown,Black-coded,False,True
16,87995,"Minifigure, Hair Bubble Style / Afro","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=87995,https://www.bricklink.com/catalogItemIn.asp?P=87995&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=87995#T=C,Black,Black-coded,False,True
